released_year,danceability_%,valence_%,energy_%,acousticness_%,speechiness_%,artist(s)_name_num,mode_num,key_num,in_playlists,streams_norm,bpm_norm
2023,80,89,83,31,4,325,0,11,641,0.1413817,0.0871558
2023,71,61,74,7,4,400,0,1,1580,0.13371629,-1.08849326
2023,51,32,53,17,6,430,0,5,1582,0.14000397,0.55029028
2019,55,58,72,11,15,557,0,9,8099,0.80084082,1.69031362
2023,65,23,80,14,6,43,1,9,3304,0.30323632,0.76404466
2023,92,66,58,19,24,123,0,1,2341,0.18370623,0.65716747
2023,67,83,76,48,3,176,1,5,3167,0.72598011,0.90654758
2023,67,26,71,37,4,468,0,5,769,0.05814938,-0.80348743
2023,85,22,62,12,9,213,1,1,1204,0.09521732,0.26528445
2023,81,56,48,21,33,451,1,2,3068,0.55363407,1.69031362
2023,57,56,72,23,5,45,1,6,2971,0.50567144,-1.40912483
2023,78,52,82,18,7,417,1,5,480,0.05825515,0.97779903
2023,71,65,68,6,7,394,0,0,13256,1.31685572,-0.1622243
2023,51,32,43,83,3,127,1,2,3790,0.38757074,0.26528445
2022,52,66,73,34,6,222,1,6,24841,2.51318849,1.83281654
2022,64,43,73,5,4,497,0,8,8453,1.16309365,-1.19537045
2023,78,76,59,43,3,186,1,11,3111,0.49679569,-0.09097284
2023,44,14,9,96,3,60,0,0,1048,0.03054688,-1.58725347
2023,86,67,66,14,16,185,0,11,2707,0.33522223,-0.80348743
2023,63,36,73,0,4,254,0,7,627,0.36336974,-0.09097284
2023,65,87,74,22,4,203,1,5,353,0.08644484,0.62154174
2023,69,82,76,6,3,557,0,6,631,0.05213525,0.01590434
2013,48,44,42,12,3,25,1,0,13465,1.29702623,0.44341309
2023,85,81,67,26,5,64,1,5,1362,0.20064722,0.37216164
2023,85,83,68,7,20,578,0,1,2106,0.11536456,-0.83911316
2023,79,96,86,9,9,192,1,7,276,0.07830065,0.26528445
2022,80,82,80,43,4,494,0,11,7632,0.89918338,-0.55410733
2023,81,74,71,14,4,554,1,6,935,0.06124529,-0.01972139
2023,52,52,68,46,4,395,0,6,2487,0.42982981,2.90158842
2023,67,78,85,2,5,151,1,11,3131,0.12740895,-0.44723014
2023,74,35,84,0,6,600,1,5,985,0.02258116,0.12278153
2023,56,63,87,39,5,449,0,6,299,0.05229427,1.61906216
2022,71,17,61,36,5,572,1,1,6394,0.84395751,-0.87473889
2022,64,51,63,12,5,557,0,4,9489,0.99974828,-0.91036462
2023,72,61,63,67,28,289,1,4,4583,0.61899039,2.04657091
2023,81,63,68,11,4,58,0,0,1206,0.12312241,-0.09097284
2023,61,39,73,37,3,624,0,6,715,0.1889335,0.97779903
2014,75,57,68,9,6,557,0,5,11998,1.35595908,-0.94599035
2014,60,48,79,0,4,557,0,2,8075,0.78618184,-0.98161608
2023,79,96,85,27,6,192,1,5,615,0.17655348,0.0871558
2023,56,84,65,23,6,268,1,9,708,0.35449541,0.76404466
2018,76,91,50,54,5,464,0,2,25309,2.80809655,-1.15974472
2022,56,38,97,4,4,53,1,7,13310,1.10943317,0.19403299
2017,56,58,56,37,10,607,0,6,13711,1.04710129,-1.55162775
2023,77,75,58,52,25,420,0,0,1264,0.0651562,0.76404466
2020,67,49,64,10,3,394,0,5,3575,0.57051505,-0.01972139
2022,71,82,81,11,5,433,0,0,9130,1.08568542,0.62154174
2016,59,51,52,9,7,571,1,1,2575,1.6479904,0.40778737
2016,68,49,59,16,28,573,0,7,32262,2.56552969,2.26032529
2023,53,50,53,23,7,27,1,1,3569,0.51874511,-1.9791365
